Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Storage Type
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,8,1 ,Intel HD Graphics 620,Windows 10,24455.52,Other
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,23922.72,SSD
MSI,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32,512 +  1 ,Nvidia GTX 980 SLI,Windows 10,149130.72,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128 +  1 ,AMD R17M-M1-70,Windows 10,43316.64,SSD
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,79866.72,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 +  2 ,AMD Radeon 530,Linux,55890.72,SSD
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,74538.72,SSD
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,98514.72,SSD
Toshiba,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,42251.04,SSD
Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,63882.72,SSD
Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 150MX,Windows 10,82530.72,SSD
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,127712.16,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,No OS,41505.12,SSD
Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8,256,Intel HD Graphics 615,Windows 10,52693.92,SSD
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,57808.8,SSD
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440 QHD,Intel Core i7 7500U 2.7GHz,16,1,Intel HD Graphics 620,Windows 10,150462.72,SSD
Vero,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32 ,Intel HD Graphics 500,Windows 10,13852.8,Other
Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce MX150,No OS,53274.67199999999,SSD
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,37189.44,SSD
Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1 ,Intel UHD Graphics 620,Windows 10,44701.92,Other
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,Nvidia GeForce 930MX,Windows 10,48697.92,Other
Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32,1,Nvidia GeForce GTX 1080,Windows 10,324954.72,SSD
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,512,Intel UHD Graphics 620,Windows 10,51095.52,SSD
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050,Windows 10,73473.12,SSD
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX ,Windows 10,55677.6,SSD
Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512 +  1 ,Nvidia GeForce GTX 1060,Windows 10,98301.6,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i5 6200U 2.3GHz,4,128,Intel HD Graphics 520,Windows 10,26267.04,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1 ,Nvidia GeForce 940MX,Windows 10,39533.76,Other
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512 +  1 ,Nvidia GeForce GTX 1060,Windows 10,93186.72,SSD
Dell,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16,256 +  1 ,Nvidia Quadro M1200,Windows 10,162770.4,SSD
Lenovo,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,No OS,74485.44,SSD
Dell,Notebook,15.6,Touchscreen 1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,6,1 ,Intel HD Graphics 620,Windows 10,23389.92,Other
Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,103842.72,SSD
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,77202.72,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,31808.16,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1050,Linux,41505.12,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050,Windows 10,74964.95999999999,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500 ,Intel HD Graphics 520,No OS,18594.72,Other
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,29250.72,SSD
Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,79866.72,SSD
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,49650.5664,SSD
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i5 7200U 2.5GHz,8,1 ,Nvidia GeForce GTX 940MX,No OS,31381.92,Other
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,54931.68,SSD
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,61218.72,SSD
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,68145.12,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Linux,36089.208,SSD
Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,47898.72,SSD
Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,72620.64,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,Intel UHD Graphics 620,Windows 10,42304.32,Other
Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1060,Windows 10,130873.7952,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,44328.96,SSD
Dell,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,1 ,AMD Radeon R7 M445,Windows 10,45768.0528,Other
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX ,Windows 10,40972.32,SSD
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 +  500 ,Nvidia GeForce GTX 950M,Windows 10,47472.48,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1 ,AMD FirePro W4190M ,Windows 10,67612.31999999999,Other
Asus,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,4,1 ,Intel HD Graphics 620,Windows 10,21258.1872,Other
HP,Notebook,15.6,1366x768 HD Ready,AMD E-Series 9000e 1.5GHz,4,500 ,AMD Radeon R2,Windows 10,17582.399999999998,Other
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1060,Windows 10,79866.72,SSD
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,45767.52,SSD
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 10,36709.92,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256,AMD Radeon R7 M445,Linux,47898.72,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Linux,20779.2,Other
Asus,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4,128 +  1 ,AMD Radeon R5 M430,Windows 10,30636.0,SSD
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32,512 +  1 ,Nvidia GeForce GTX 1080,Windows 10,207259.2,SSD
Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,45074.88,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,8,128,Intel HD Graphics 520,Windows 10,31381.92,SSD
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,Nvidia GeForce 150MX,Windows 10,61005.6,SSD
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,128 +  1 ,Nvidia GeForce GTX 950M,No OS,47365.92,SSD
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,46833.12,SSD
Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,57489.12,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  2 ,AMD Radeon 530,Windows 10,52480.8,SSD
HP,Notebook,15.6,Touchscreen 1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,1 ,Intel HD Graphics 620,Windows 10,29783.52,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1080,Windows 10,159786.72,SSD
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500 ,Intel UHD Graphics 620,Windows 10,35964.0,Other
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 3.1GHz,8,512,Intel Iris Plus Graphics 650,macOS,108691.2,SSD
Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1 ,Intel UHD Graphics 620,Windows 10,43636.32,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 980M,Windows 10,95850.72,SSD
Asus,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,1 ,AMD Radeon R5 M420,Windows 10,24988.32,Other
Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,98514.72,SSD
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,37402.56,SSD
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,50562.72,SSD
HP,Notebook,15.6,1366x768 HD Ready,AMD A6-Series A6-9220 2.5GHz,8,128,AMD Radeon R4 Graphics,Windows 10,23757.552,SSD
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,1 ,Nvidia GeForce MX150,Windows 10,56423.52,Other
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512 +  1 ,Nvidia GeForce GTX 1070,Windows 10,133146.72,SSD
Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GTX 1050M,Windows 10,90522.72,SSD
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,60845.76,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,No OS,23656.32,SSD
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500 ,Intel HD Graphics 620,Windows 10,38468.16,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1 ,Intel HD Graphics 620,Windows 10,35004.96,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1 ,AMD Radeon R5 M430,Windows 10,30103.2,Other
Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,42570.72,SSD
Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512 +  512,Intel UHD Graphics 620,Windows 10,79866.72,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1 ,Intel HD Graphics 620,No OS,24881.76,Other
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1 ,Nvidia GeForce 930MX ,Windows 10,54239.04,Other
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,46886.4,SSD
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 2.9GHz,8,512,Intel Iris Graphics 550,macOS,104370.192,SSD
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256 +  1 ,AMD Radeon RX 580,Windows 10,82530.72,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Linux,39164.5296,SSD
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440 QHD,Intel Core i7 6600U 2.6GHz,16,512,Intel HD Graphics 520,Windows 10,133146.72,SSD
Toshiba,Notebook,15.6,1366x768 HD Ready,Intel Core i7 6500U 2.5GHz,8,500 ,Nvidia GeForce 930M,Windows 10,43263.36,Other
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i7 7500U 2.7GHz,12,1 ,Intel HD Graphics 620,Windows 10,37992.3696,Other
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,AMD Radeon 530,Linux,58554.72,SSD
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1 ,Nvidia GeForce MX130,Windows 10,39693.6,Other
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,26053.92,Other
Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2 ,Nvidia GeForce MX150,No OS,45234.72,Other
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i7 7500U 2.7GHz,6,128 +  1 ,Nvidia GeForce 940MX,Windows 10,45767.52,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4,1 ,AMD Radeon R5 M430,Linux,22803.84,Other
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,44169.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows 10,30849.12,SSD
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,50669.28,SSD
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,1 ,Intel HD Graphics 620,Windows 10,35111.52,Other
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 630,Windows 10,58448.16,SSD
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,52054.56,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,62817.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1 ,Nvidia GeForce 940MX,No OS,35112.0528,Other
Acer,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core 3205U 1.5GHz,2,16,Intel HD Graphics,Chrome OS,10602.72,SSD
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1050,Windows 10,63243.36,Other
HP,Notebook,17.3,1600x900 HD,Intel Core i3 6006U 2GHz,8,1 ,Intel HD Graphics 520,Windows 10,26053.92,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,97449.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,39373.92,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1060,Windows 10,69210.72,Other
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Linux,52161.12,SSD
Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,256,Nvidia Quadro M1200,Windows 10,153705.3408,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6,1 ,AMD Radeon R5 430,Windows 10,26586.72,Other
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Nvidia GeForce 940MX,Windows 10,78215.04,SSD
Asus,Notebook,14.0,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,27119.52,SSD
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,113060.16,SSD
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i5 7200U 2.5GHz,6,1 ,Nvidia GeForce GTX 940M,Windows 10,34578.72,Other
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,2 ,Nvidia GeForce 940MX,No OS,29250.72,Other
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,67399.2,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Pentium Quad Core N4200 1.1GHz,4,1 ,Intel HD Graphics 505,No OS,19180.2672,Other
HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16,256,Intel HD Graphics 620,Windows 10,105228.0,SSD
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Nvidia GeForce 930M,Windows 10,55571.04,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128 +  1 ,Nvidia GeForce 940MX,Windows 10,43636.32,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,24988.32,Other
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,53226.72,SSD
Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1,Intel UHD Graphics 620,Windows 10,133146.72,SSD
MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,111834.72,SSD
Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8,256,AMD Radeon R5,Windows 10,24988.32,SSD
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,2,32 ,Intel HD Graphics 500,Windows 10,14652.0,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,44968.32,SSD
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1,Intel UHD Graphics 620,Windows 10,130482.72,SSD
Lenovo,Notebook,13.3,1366x768 HD Ready,Intel Celeron Dual Core 3855U 1.6GHz,4,16 ,Intel HD Graphics 510,Chrome OS,24503.472,Other
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,52214.4,SSD
Acer,Notebook,11.6,1366x768 HD Ready,Intel Pentium Quad Core N3710 1.6GHz,4,128 ,Intel HD Graphics 405,Windows 10,25840.8,Other
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,68837.76,SSD
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i5 7200U 2.5GHz,4,1 ,Nvidia GeForce 920MX,Windows 10,31381.92,Other
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,58288.32,SSD
HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1 ,Intel UHD Graphics 620,Windows 10,48058.56,Other
Acer,Notebook,15.6,1366x768 HD Ready,AMD A12-Series 9720P 2.7GHz,8,256,AMD Radeon RX 540,Windows 10,35111.52,SSD
Lenovo,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,32 ,Intel HD Graphics 500,Windows 10,15557.76,Other
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,6,1 ,Intel HD Graphics 620,Windows 10,29250.72,Other
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,55938.672,SSD
HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,71128.8,SSD
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1,Nvidia GeForce GTX 1050,Windows 10,140605.91999999998,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,63882.72,SSD
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,50243.04,SSD
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 +  1 ,Intel HD Graphics 620,Windows 10,71075.52,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,23922.72,Other
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,53226.72,SSD
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,67559.04,SSD
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 +  1 ,Nvidia GeForce 940MX,Windows 10,55890.72,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,60952.32,SSD
Asus,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,Linux,14651.4672,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 940MX,Windows 10,60885.72,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,500 ,Intel HD Graphics,Linux,14646.672,Other
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12,2 ,AMD Radeon 530,Windows 10,47898.72,Other
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1 ,Nvidia GeForce 930MX ,Windows 10,38148.48,Other
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,111834.72,SSD
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,84129.12,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  2 ,Nvidia GeForce GTX 1050 Ti,Windows 10,60153.12,SSD
